slope_distance,timestamp
3859.118,2020-01-15 05:51:00
3859.119,2020-01-16 20:10:00
3859.12,2020-01-17 04:54:00
3859.119,2020-01-18 05:32:00
3859.119,2020-01-19 05:14:00
3859.122,2020-01-20 05:05:00
3859.119,2020-01-21 04:45:00
3859.121,2020-01-22 05:21:00
3859.122,2020-01-23 23:33:00
3859.118,2020-01-24 05:10:00
3859.119,2020-01-25 04:41:00
3859.119,2020-01-26 05:16:00
3859.12,2020-01-27 05:01:00
3859.116,2020-01-28 04:46:00
3859.116,2020-01-29 05:21:00
3859.121,2020-01-30 20:31:00
3859.119,2020-01-31 05:04:00
3859.117,2020-02-01 21:23:00
3859.117,2020-02-02 05:23:00
3859.118,2020-02-03 05:07:00
3859.122,2020-02-04 05:03:00
3859.125,2020-02-05 05:58:00
3859.12,2020-02-06 05:01:00
3859.123,2020-02-07 05:10:00
3859.123,2020-02-08 05:08:00
3859.121,2020-02-09 04:51:00
3859.122,2020-02-10 22:00:00
3859.117,2020-02-12 05:01:00
3859.115,2020-02-13 05:01:00
3859.117,2020-02-14 05:15:00
3859.121,2020-02-15 05:31:00
3859.118,2020-02-16 05:02:00
3859.121,2020-02-17 21:45:00
3859.12,2020-02-18 05:44:00
3859.119,2020-02-19 23:17:00
3859.119,2020-02-21 23:23:00
3859.119,2020-02-23 23:13:00
3859.113,2020-02-24 05:13:00
3859.113,2020-02-25 05:04:00
3859.114,2020-02-26 22:51:00
3859.114,2020-02-27 05:20:00
3859.115,2020-02-29 21:17:00
3859.111,2020-03-01 19:07:00
3859.113,2020-03-02 22:18:00
3859.113,2020-03-03 04:51:00
3859.122,2020-03-05 20:56:00
3859.117,2020-03-12 04:44:00
3859.117,2020-03-13 05:11:00
3859.118,2020-03-14 05:17:00
3859.117,2020-03-15 04:36:00
3859.115,2020-03-16 05:30:00
3859.121,2020-03-17 04:57:00
3859.114,2020-03-18 04:58:00
3859.117,2020-03-19 05:11:00
3859.118,2020-03-21 20:36:00
3859.112,2020-03-22 05:10:00
3859.117,2020-03-23 04:35:00
3859.117,2020-03-24 04:42:00
3859.113,2020-03-25 05:00:00
3859.113,2020-03-26 05:04:00
3859.115,2020-03-27 05:11:00
3859.118,2020-03-28 05:10:00
3859.118,2020-03-29 05:28:00
3859.117,2020-03-30 04:25:00
3859.117,2020-03-31 04:50:00
3859.114,2020-04-01 21:03:00
3859.116,2020-04-02 05:01:00
3859.114,2020-04-03 05:31:00
3859.114,2020-04-04 05:00:00
3859.118,2020-04-05 05:02:00
3859.117,2020-04-07 04:55:00
3859.116,2020-04-08 05:05:00
3859.117,2020-04-09 04:46:00
3859.112,2020-04-10 05:14:00
3859.108,2020-04-11 05:22:00
3859.11,2020-04-12 04:53:00
3859.105,2020-04-13 04:44:00
3859.106,2020-04-14 05:00:00
3859.112,2020-04-15 05:02:00
3859.109,2020-04-16 05:01:00
3859.11,2020-04-17 04:37:00
3859.107,2020-04-18 04:48:00
3859.112,2020-04-19 05:08:00
3859.111,2020-04-20 04:25:00
3859.11,2020-04-22 04:59:00
3859.105,2020-04-23 04:59:00
3859.108,2020-04-24 14:15:00
3859.11,2020-04-25 04:58:00
3859.11,2020-04-26 04:40:00
3859.111,2020-04-27 04:14:00
3859.112,2020-04-28 21:52:00
3859.115,2020-04-29 03:46:00
3859.11,2020-04-30 04:12:00
3859.112,2020-05-01 05:31:00
3859.108,2020-05-02 05:04:00
3859.11,2020-05-03 04:53:00
3859.111,2020-05-04 03:33:00
3859.106,2020-05-05 04:50:00
3859.109,2020-05-06 04:05:00
3859.109,2020-05-07 04:30:00
3859.102,2020-05-08 05:46:00
3859.11,2020-05-09 05:00:00
3859.107,2020-05-10 05:03:00
3859.11,2020-05-11 03:50:00
3859.11,2020-05-12 04:50:00
3859.113,2020-05-13 05:06:00
3859.106,2020-05-16 05:00:00
3859.109,2020-05-17 04:51:00
3859.108,2020-05-18 03:40:00
3859.109,2020-05-19 05:05:00
3859.109,2020-05-20 03:49:00
3859.113,2020-05-21 23:35:00
3859.113,2020-05-22 05:28:00
3859.114,2020-05-23 04:31:00
3859.113,2020-05-24 23:50:00
3859.112,2020-05-25 04:28:00
3859.108,2020-05-26 05:00:00
3859.112,2020-05-27 20:27:00
3859.112,2020-05-28 05:33:00
3859.11,2020-05-29 05:05:00
3859.114,2020-05-30 05:11:00
3859.116,2020-05-31 05:57:00
3859.113,2020-06-01 04:40:00
3859.112,2020-06-03 05:40:00
3859.112,2020-06-04 04:51:00
3859.115,2020-06-05 04:57:00
3859.114,2020-06-06 04:10:00
3859.115,2020-06-07 05:21:00
3859.116,2020-06-08 05:07:00
3859.112,2020-06-09 04:41:00
3859.116,2020-06-10 04:54:00
3859.11,2020-06-11 04:34:00
3859.112,2020-06-13 05:35:00
3859.112,2020-06-14 04:17:00
3859.111,2020-06-14 22:55:00
3859.11,2020-06-15 04:50:00
3859.111,2020-06-16 05:05:00
3859.113,2020-06-17 04:28:00
3859.112,2020-06-18 05:09:00
3859.108,2020-06-19 04:43:00
3859.118,2020-06-20 04:42:00
3859.122,2020-06-21 04:35:00
3859.069,2020-06-22 05:03:00
3859.065,2020-06-23 04:46:00
3859.059,2020-06-24 05:15:00
3859.055,2020-06-25 05:02:00
3859.05,2020-06-26 04:35:00
3859.047,2020-06-26 20:59:00
3859.047,2020-06-26 23:05:00
3859.052,2020-06-27 01:01:00
3859.05,2020-06-27 03:17:00
3859.051,2020-06-27 05:04:00
3859.047,2020-06-27 18:22:00
3859.047,2020-06-27 22:03:00
3859.05,2020-06-28 01:03:00
3859.048,2020-06-28 04:24:00
3859.041,2020-06-28 20:31:00
3859.04,2020-06-28 22:21:00
3859.044,2020-06-29 01:31:00
3859.037,2020-06-29 02:00:00
3859.036,2020-06-29 02:03:00
3859.042,2020-06-29 04:58:00
3859.037,2020-06-30 02:04:00
3859.038,2020-06-30 05:22:00
3859.031,2020-06-30 23:03:00
3859.036,2020-07-01 04:56:00
3859.034,2020-07-01 22:19:00
3859.027,2020-07-03 04:35:00
3859.031,2020-07-03 22:58:00
3859.031,2020-07-04 04:51:00
3859.024,2020-07-04 19:35:00
3859.02,2020-07-04 23:02:00
3859.025,2020-07-05 05:01:00
